full_text,full_text_norm,in_reply_to_user_id_str,favorite_count,created_at,jam,reply_count,in_reply_to_screen_name,id_str,entities_hashtags,text_sentiment,retweet_count,user_name,user_screen_name
"[SALAH] Taruhan Pilpres Berhadiah Lapangan Sepakbola “Itu taruhan bohongan, tanah yang dimaksud itu adalah lapangan sepakbola yang sudah 10 tahun lebih tidak diperhatikan. Mudah-mudahan ... Selengkapnya di bagian PENJELASAN dan REFERENSI #LawanHoax",salah taruhan pilpres berhadiah lapangan sepakbola taruhan bohongan tanah lapangan sepakbola ten perhatikan mudah mudah selengkapnya penjelasan referensi,NA,12,2019-04-17,11:15:00,0,NA,1118473123286749200,LawanHoax,neutral,29,MAFINDO,TurnBackHoax
"[SALAH] Video Grace Natalie Ajak Warga Makan Babi Sama-sama Grace Natalie membantah dirinya mengajak warga untuk makan babi. “Sekali lagi saya tegaskan, yang saya katakan bakmi, bukan babi,” ... Selengkapnya di bagian PENJELASAN dan REFERENSI! #LawanHoax",salah video grace natalie ajak warga makan babi grace natalie membantah mengajak warga makan babi tegaskan bakmi babi selengkapnya penjelasan referensi,NA,39,2019-04-17,03:14:00,3,NA,1118351906236014600,LawanHoax,positive,54,MAFINDO,TurnBackHoax
"[SALAH] Ketua KPU Umroh ‘Bareng’ Jokowi Pria yang ada di dalam foto ( ditandai dengan tanda panah biru ) bukanlah Ketua KPU Arief Budiman, melainkan Unsil Habib, seorang penerjemah yang ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah ketua kpu umroh jokowi pria foto ditandai tanda panah biru ketua kpu arief budiman unsil habib penerjemah selengkapnya penjelasan referensi,NA,96,2019-04-17,03:11:00,11,NA,1118351301937520600,LawanHoax,neutral,135,MAFINDO,TurnBackHoax
"[SALAH] Pemilu Di Australia Pendukung 02 Tidak Boleh Masuk, Alasan Waktu Sudah Habis ... yang tidak bisa mencoblos bukan hanya pendukung 02, melainkan WNI yang ada di Sydney. ... lebih lengkapnya silakan baca bagian PENJELASAN. #LawanHoax",salah pemilu australia pendukung masuk alasan habis mencoblos pendukung wni sydney lengkapnya silakan baca penjelasan,NA,26,2019-04-16,08:00:00,0,NA,1118061463053058e3,LawanHoax,positive,46,MAFINDO,TurnBackHoax
"[SALAH] Jokowi Mau Temui Rizieq di Mekkah Juru bicara Tim Kampanye Nasional (TKN) Jokowi-Ma’ruf, Ace Hasan Syadzily dan Arya Sinulingga membantah pernyataan FPI tersebut. Ace menilai klaim ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah jokowi temui rizieq mekkah juru bicara tim kampanye nasional tkn jokowi maruf ace hasan syadzily arya sinulingga membantah pernyataan fpi ace menilai klaim selengkapnya penjelasan referensi,NA,59,2019-04-16,07:55:00,14,NA,1118060303755800600,LawanHoax,negative,100,MAFINDO,TurnBackHoax
"[SALAH] Pesan Gus Dur sebelum wafat terkait Habib Rizieq Hoaks yang didaur ulang. Pada tahun 2017, melalui akun twitter terverifikasi ... Bantahan kembali dinyatakan oleh Alissa Wahid pada tahun 2019. Selengkapnya di bagian PENJELASAN dan ... #LawanHoax",salah pesan dur wafat terkait habib rizieq hoaks didaur ulang twothousandseventeen akun twitter terverifikasi bantahan dinyatakan alissa wahid twothousandnineteen selengkapnya penjelasan,NA,58,2019-04-16,07:51:00,4,NA,1118059441008459800,LawanHoax,neutral,84,MAFINDO,TurnBackHoax
[SALAH] Media Sosial dan Aplikasi Pesan Dipantau Dimasa Tenang Pemilu 2019 Diketahui unggahan akun @iizt.adja pernah muncul pada tahun 2017 dan 2018 yang telah dibantah oleh pihak Kemenkominfo. #LawanHoax,salah aplikasi pesan dipantau dimasa tenang pemilu twothousandnineteen unggahan akun adja muncul twothousandseventeen twothousandeighteen dibantah kemenkominfo,NA,24,2019-04-15,23:48:00,0,NA,1117937675485376500,LawanHoax,neutral,24,MAFINDO,TurnBackHoax
"[SALAH] Samsul Bahri Ketua KPPS Sydney Pro 02 Komisioner KPU Ilham Saputra membantah bahwa nama Samsul Bahri sebagai Ketua KPPSLN. “Di hoaks itu muncul bahwa seakan-akan Samsul Bahri anggota KPPSLN, di kita enggak ada yang namanya ... #LawanHoax",salah samsul bahri ketua kpps sydney pro komisioner kpu ilham saputra membantah nama samsul bahri ketua kppsln hoaks muncul seakan samsul bahri anggota kppsln nama,NA,52,2019-04-15,06:50:00,14,NA,1117681524889927700,LawanHoax,negative,59,MAFINDO,TurnBackHoax
"[SALAH] “Dimalaysia sdah pencoblosan, Pak Prabowo menang telak, tapi kotak surat suara terbakar di jalan saat mau di bawa” Surat suara yang terbakar adalah surat suara yang belum dicoblos karena berdasarkan jadwal dari KPU RI, proses ... #LawanHoax",salah dimalaysia pencoblosan prabowo menang telak kotak surat suara terbakar jalan bawa surat suara terbakar surat suara dicoblos berdasarkan jadwal kpu indonesia proses,NA,46,2019-04-15,04:56:00,4,NA,1117652899041906700,LawanHoax,positive,84,MAFINDO,TurnBackHoax
"[SALAH] Video Pemukulan Pelaku Terorisme yang Menyerang Masjid Christchurch Selandia Baru di Penjara Video tersebut merupakan video lama. Kejadian sebenarnya dalam video tersebut ialah pemukulan terhadap pelaku terorisme Ottawa, Kanada ... #LawanHoax",salah video pemukulan pelaku terorisme menyerang masjid christchurch selandia penjara video video kejadian video pemukulan pelaku terorisme ottawa kanada,NA,7,2019-04-15,04:54:00,0,NA,1117652395054395400,LawanHoax,negative,12,MAFINDO,TurnBackHoax
"[SALAH] Pemerintah Jokowi Tawarkan Kota Bogor Kepada Cina ... blog tersebut menyajikan artikel yang disalin dari Radar Bogor. Namun, judul dalam artikel blog itu tidak sesuai dengan isi berita. #LawanHoax",salah pemerintah jokowi tawarkan kota bogor cina blog menyajikan artikel disalin radar bogor judul artikel blog sesuai isi berita,NA,31,2019-04-15,04:52:00,2,NA,1117651976290832400,LawanHoax,negative,49,MAFINDO,TurnBackHoax
"[SALAH] Aksi Sweeping Pendukung 02 Terhadap Pendukung 01 Di Soloraya ... seluruh petugas saat ini tengah bertugas untuk memastikan kampanye berjalan aman. “Semuanya (polisi) berada di lapangan,” kata Yuliantara saat ... #LawanHoax",salah aksi sweeping pendukung pendukung soloraya petugas bertugas kampanye berjalan aman polisi lapangan yuliantara,NA,5,2019-04-15,04:51:00,0,NA,1117651516754554900,LawanHoax,positive,5,MAFINDO,TurnBackHoax
[SALAH] Pembuatan KTP Orang Gila Demi Ambisi Kekuasaan ... praktek Orang Dengan Gangguan Jiwa (ODGJ) memilih dalam Pemilu sudah berlangsung sejak 1995. #LawanHoax,salah pembuatan ktp orang gila ambisi kekuasaan praktek orang gangguan jiwa odgj memilih pemilu,NA,16,2019-04-15,04:42:00,0,NA,1117649352032260100,LawanHoax,neutral,23,MAFINDO,TurnBackHoax
"[SALAH] Gus Sholah Mendukung Prabowo Dari artikel yang dimuat di situs resmi milik Nahdlatul Ulama ( ), Gus Sholah menegaskan bahwa dia bersikap netral. . Asisten pribadi Gus Solah, Ustadz Amin Zein, juga ... #LawanHoax",salah sholah dukung prabowo artikel dimuat situs resmi milik nahdlatul ulama sholah bersikap netral asisten pribadi solah ustad amin zein,NA,24,2019-04-15,04:39:00,0,NA,1117648648748163100,LawanHoax,positive,35,MAFINDO,TurnBackHoax
"[SALAH] “frustasi, gara-gara gak laku, kampanye sepi, akses jalan dihadang oleh mobil oknum dari salah satu paslon” Melalui sebuah video yang diupload ke media sosial, wanita bernama Nur Fitria mengaku telah mengkomfirmasikan kejadian ... #LawanHoax",salah frustasi gara gara laku kampanye sepi akses jalan dihadang mobil oknum salah paslon video diupload wanita bernama nur fitria mengaku mengkomfirmasikan kejadian,NA,2,2019-04-15,04:36:00,0,NA,1117647804132810800,LawanHoax,neutral,16,MAFINDO,TurnBackHoax
"[SALAH] juga di Monas dan bundaran HI Foto yang digunakan oleh SUMBER adalah hasil tangkapan layar dari video unggahan tahun 2018, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah monas bundaran foto sumber hasil tangkapan layar video unggahan twothousandeighteen selengkapnya penjelasan referensi,NA,22,2019-04-14,11:05:00,6,NA,1117383412824678400,LawanHoax,neutral,34,MAFINDO,TurnBackHoax
"[SALAH] Foto Diluar yang gak bisa masuk, ribuan doang ini gak jutaan Foto yang dibagikan adalah foto yang sudah beredar sebelumnya di tahun 2011, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto diluar masuk ribuan jutaan foto dibagikan foto beredar twothousandeleven selengkapnya penjelasan referensi,NA,28,2019-04-13,14:12:00,6,NA,1117067985024237600,LawanHoax,negative,60,MAFINDO,TurnBackHoax
"[SALAH] Video Banteng - Jawa Tengah ber SATU konvoi menuju GBK Video yang dibagikan adalah video unggahan tahun 2014, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah video banteng jawa konvoi gbk video dibagikan video unggahan twothousandfourteen selengkapnya penjelasan referensi,NA,26,2019-04-13,10:48:00,2,NA,1117016630960148500,LawanHoax,neutral,22,MAFINDO,TurnBackHoax
"[SALAH] Foto Ini CAWAPRES Akuh Foto yang digunakan oleh SUMBER adalah hasil suntingan, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto cawapres akuh foto sumber hasil suntingan selengkapnya penjelasan referensi,NA,27,2019-04-12,00:18:00,7,NA,1116495815449538600,LawanHoax,neutral,34,MAFINDO,TurnBackHoax
"[SALAH] “Hasil perhitungan sementara diluar negri luarbiasa” Komisioner KPU RI, Hasyim Asy’ari menegaskan informasi soal beredarnya perolehan suara Pemilu 2019 di luar negeri tidak dapat ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah hasil perhitungan diluar negeri luarbiasa komisioner kpu indonesia hashim asy ari informasi beredarnya perolehan suara pemilu twothousandnineteen negeri selengkapnya penjelasan referensi,NA,93,2019-04-10,09:37:00,13,NA,111591167006754e4,LawanHoax,neutral,147,MAFINDO,TurnBackHoax
"[SALAH] Dana haji dipakai oleh pemerintah Jokowi untuk membangun infrastruktur Kepala Badan Pengelola Keuangan Haji (BPKH) Anggito Abimanyu mengatakan, tak ada dana haji yang digunakan ... Selengkapnya di bagian PENJELASAN dan REFERENSI #LawanHoax",salah dana haji pakai pemerintah jokowi membangun infrastruktur kepala badan pengelola keuangan haji bpkh anggito abimanyu dana haji selengkapnya penjelasan referensi,NA,39,2019-04-10,03:02:00,1,NA,1115812315343941600,LawanHoax,neutral,55,MAFINDO,TurnBackHoax
"[SALAH] Peresmian Patung Yesus Memberkati oleh Jokowi Tidak ada peresmian karena bangunan utama dan fasilitas pendukung belum 100 persen selesai, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah peresmian patung yesus berkat jokowi peresmian bangunan utama fasilitas pendukung onehundred persen selesai selengkapnya penjelasan referensi,NA,19,2019-04-07,13:15:00,2,NA,1114879279752339500,LawanHoax,positive,45,MAFINDO,TurnBackHoax
"[SALAH] Foto Suntingan Capres kartu Yang berada di foto asli adalah Walter Cavanagh, selengkapnya di bagian PENJELASAN dan NARASI. #LawanHoax",salah foto suntingan capres kartu foto asli walter cavanagh selengkapnya penjelasan narasi,NA,16,2019-04-06,17:42:00,4,NA,1114584138256748500,LawanHoax,positive,25,MAFINDO,TurnBackHoax
"[SALAH] Pengarang Jokowi Undercover semasa mudanya berteman dengan Jokowi Bambang Tri kuliah di Unsoed (Purwokerto), sementara foto yang dibagikan adalah kegiatan Jokowi bersama Mapala UGM. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah pengarang jokowi undercover mudanya berteman jokowi bambang tri kuliah unsoed purwokerto foto dibagikan kegiatan jokowi mapala ugm selengkapnya penjelasan referensi,NA,28,2019-04-06,05:48:00,2,NA,1114404592890966e3,LawanHoax,neutral,43,MAFINDO,TurnBackHoax
"[SALAH] Mahatir Mohammad minta China membongkar semua jalan Tol Selain narasi yang disebarkan adalah pelintiran menggunakan berita yang sudah beredar sebelumnya, hampir seluruh foto yang ... Selengkapnya di bagian PENJELASAN dan NARASI. #LawanHoax",salah mahatir mohammad china membongkar jalan tol narasi disebarkan pelintiran berita beredar foto selengkapnya penjelasan narasi,NA,55,2019-04-04,05:29:00,9,NA,1113674991931772900,LawanHoax,negative,85,MAFINDO,TurnBackHoax
"[SALAH] Foto di Cuitan Presiden yang tertukar... Foto tangkapan layar yang dibagikan oleh SUMBER adalah hasil suntingan, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto cuitan presiden tertukar foto tangkapan layar dibagikan sumber hasil suntingan selengkapnya penjelasan referensi,NA,19,2019-03-31,08:16:00,5,NA,1112267456569966600,LawanHoax,neutral,42,MAFINDO,TurnBackHoax
"[SALAH] Foto di Post PRABOWO SANDI DINANTI DUNIA! Foto yang dibagikan oleh SUMBER adalah hasil suntingan, menggunakan foto yang sebelumnya sudah diedarkan di Instagram oleh akun Teuku ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto post prabowo sandi dinanti dunia foto dibagikan sumber hasil suntingan foto diedarkan instagram akun teuku selengkapnya penjelasan referensi,NA,28,2019-03-30,05:15:00,11,NA,1111859498820395e3,LawanHoax,positive,68,MAFINDO,TurnBackHoax
"[SALAH] Foto di Post Presiden Chechnya Dukung Prabowo Sandi Foto yang dibagikan oleh SUMBER adalah hasil suntingan, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto post presiden chechnya dukung prabowo sandi foto dibagikan sumber hasil suntingan selengkapnya penjelasan referensi,NA,64,2019-03-29,16:01:00,14,NA,1111659702750867500,LawanHoax,neutral,109,MAFINDO,TurnBackHoax
"[SALAH] lengan kanan dekap lengan kiri Foto yang dibagikan oleh SUMBER adalah hasil suntingan (dibalik), foto asli adalah yang dipublikasi di tahun 2016. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah lengan kanan dekap lengan kiri foto dibagikan sumber hasil suntingan dibalik foto asli dipublikasi twothousandsixteen selengkapnya penjelasan referensi,NA,87,2019-03-27,02:25:00,13,NA,1110729551888302100,LawanHoax,positive,132,MAFINDO,TurnBackHoax
"[SALAH] Pesawat-pesawat PAF menciptakan formasi yang indah dari nama Allah di langit Bukan oleh PAF, formasi tidak sengaja dibentuk oleh TNI AU di 3 Mei 2017 dalam acara Jogja ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah pesawat pesawat paf menciptakan formasi indah nama allah langit paf formasi sengaja dibentuk tni au mei twothousandseventeen acara jogja selengkapnya penjelasan referensi,NA,13,2019-03-26,16:19:00,1,NA,1110576982327095300,LawanHoax,positive,19,MAFINDO,TurnBackHoax
"[SALAH] Prabowo mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia Video yang diedarkan disunting menjadi lebih pendek sehingga tidak menyampaikan konteks yang utuh. Yang ..., selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah prabowo mengeluarkan kalimat merendahkan kaum miskin indonesia video diedarkan disunting pendek konteks utuh selengkapnya penjelasan referensi,NA,39,2019-03-26,02:12:00,6,NA,1110363899960778800,LawanHoax,negative,49,MAFINDO,TurnBackHoax
"[SALAH] PLN Benar-benar tak punya malu dan etika Pose jari di foto yang disebarkan adalah L untuk Listrik, tidak ada hubungannya dengan dukungan ke salah satu paslon seperti premis ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah pln malu etika pose jari foto disebarkan listrik hubungannya dukungan salah paslon premis selengkapnya penjelasan referensi,NA,8,2019-03-25,15:41:00,3,NA,1110205192425766900,LawanHoax,positive,22,MAFINDO,TurnBackHoax
"[SALAH] Kok bebas acungkan 1 jari? Foto anggota Polres Lamongan dan Kepala BNPT yang disebarkan adalah peristiwa di 2017, tidak ada hubungannya dengan dukungan ke salah satu paslon seperti ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah bebas acungkan jari foto anggota polres lamongan kepala bnpt disebarkan peristiwa twothousandseventeen hubungannya dukungan salah paslon selengkapnya penjelasan referensi,NA,45,2019-03-25,13:58:00,1,NA,1110179160909967400,LawanHoax,positive,66,MAFINDO,TurnBackHoax
"[SALAH] surat kabar luar negeri memberitakan jokowi tukang ngibul Pelintiran daur ulang. Independent Observer BUKAN surat kabar luar negeri seperti yang disebutkan di narasi SUMBER, ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah surat kabar negeri memberitakan jokowi tukang bohon pelintiran daur ulang independent observer surat kabar negeri narasi sumber selengkapnya penjelasan referensi,NA,40,2019-03-24,02:12:00,1,NA,1109639047373160400,LawanHoax,neutral,78,MAFINDO,TurnBackHoax
"[SALAH] Tangkapan Layar Artikel KPK Minta Jangan Coblos Calon yang Bagi Uang dan Sembako Tangkapan layar yang diedarkan adalah hasil suntingan, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah tangkapan layar artikel kpk coblos calon uang sembako tangkapan layar diedarkan hasil suntingan selengkapnya penjelasan referensi,NA,6,2019-03-23,09:13:00,1,NA,1109382550860914700,LawanHoax,neutral,31,MAFINDO,TurnBackHoax
"[SALAH] Foto di Cuitan Ketik #INAelectionObserverSOS Biar Dibantu Cyber Seluruh Dunia. Foto yang disebarkan adalah hasil suntingan menggunakan situs PhotoFunia, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto cuitan ketik biar dibantu cyber dunia foto disebarkan hasil suntingan situs photofunia selengkapnya penjelasan referensi,NA,41,2019-03-22,12:08:00,5,NA,1109064403326926800,INAelectionObserverSOS LawanHoax,neutral,56,MAFINDO,TurnBackHoax
"[SALAH] Jokowi sdh berkunjung ke Christchurch Bukan ke Christchurch, kunjungan Jokowi di video yang dibagikan adalah ke Wellington di 18 Maret 2018 lalu. Video direkam dari seberang Hotel ... selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah jokowi berkunjung christchurch christchurch kunjungan jokowi video dibagikan wellington eighteen maret twothousandeighteen video direkam seberang hotel selengkapnya penjelasan referensi,NA,14,2019-03-22,07:37:00,1,NA,1108996060347695100,LawanHoax,neutral,34,MAFINDO,TurnBackHoax
"[SALAH] BELUM WAKTUNYA SURAT SUARA PENCOBLOSAN SUDAH BERTEBARAN Untuk pemilih luar negeri yang mencoblos via pos memang sudah waktunya, surat suara sudah dikirim per tanggal 8 Maret... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah surat suara pencoblosan bertebaran pemilih negeri mencoblos pos surat suara dikirim tanggal maret selengkapnya penjelasan referensi,NA,24,2019-03-21,06:02:00,1,NA,1108609779910373400,LawanHoax,neutral,54,MAFINDO,TurnBackHoax
"[SALAH] Ternyata begini cara Presiden mengajarkan politik Pelintiran tahun lalu. Post SUMBER membagikan video berita tahun 2015, diedarkan mendekati pilpres untuk membangun premis ... selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah presiden mengajarkan politik pelintiran post sumber membagikan video berita twothousandfifteen diedarkan mendekati pilpres membangun premis selengkapnya penjelasan referensi,NA,30,2019-03-19,11:12:00,1,NA,1107962933219196900,LawanHoax,neutral,50,MAFINDO,TurnBackHoax
"[SALAH] Suasana sholat jenazah para korban teroris di new zealand Foto yang digunakan adalah foto unggahan tahun 2013, yang artinya dari konteks waktu (tahun) tidak cocok karena kejadian ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah suasana sholat jenazah korban teroris zealand foto foto unggahan twothousandthirteen konteks cocok kejadian selengkapnya penjelasan referensi,NA,59,2019-03-18,12:32:00,1,NA,1107620835756380200,LawanHoax,negative,119,MAFINDO,TurnBackHoax
"[SALAH] umat Islam New Zealand membakar Gereja Pesan SUMBER membagikan video kejadian tahun 2013. Lokasi kejadian adalah di Mesir, bukan Selandia Baru, selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah umat islam zealand membakar gereja pesan sumber membagikan video kejadian twothousandthirteen lokasi kejadian mesir selandia selengkapnya penjelasan referensi,NA,23,2019-03-18,06:12:00,0,NA,1107525176558649300,LawanHoax,negative,57,MAFINDO,TurnBackHoax
"[SALAH] Foto di cuitan Saudari kita ini... oleh @pedjoeang_islam Salah satu foto yang digunakan diambil dari akun Instagram Syma Beauty, berdasarkan klarifikasi dari pemilik foto dia ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto cuitan saudari salah foto diambil akun instagram syma beauty berdasarkan klarifikasi pemilik foto selengkapnya penjelasan referensi,NA,48,2019-03-17,04:30:00,15,NA,1107137180609069e3,LawanHoax,neutral,92,MAFINDO,TurnBackHoax
"[SALAH] Foto di Cuitan Jumlah korban meninggal... Oleh @pedjoeang_islam Foto yang digunakan lokasi kejadiannya adalah di Suriah, bukan Selandia Baru. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah foto cuitan korban meninggal foto lokasi kejadiannya suriah selandia selengkapnya penjelasan referensi,NA,74,2019-03-16,13:29:00,19,NA,1106910292645052400,LawanHoax,negative,144,MAFINDO,TurnBackHoax
"[SALAH] homo & lesbi sudah dilindungi hukum & UU TIDAK ADA produk hukum yang melindungi homo dan lesbi, yang sedang dibahas di RKUHP justru LARANGAN dan PIDANA. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah homo lesbi dilindungi hukum undang undang produk hukum melindungi homo lesbi dibahas rkuhp larangan pidana selengkapnya penjelasan referensi,NA,34,2019-03-16,06:23:00,1,NA,1106803114751848400,LawanHoax,negative,49,MAFINDO,TurnBackHoax
"[SALAH] Pesan Berantai Bakso Tikus Foto-foto yang diedarkan adalah foto lama, sebagian berasal dari kejadian di luar Indonesia, dan tidak ada kaitannya dengan foto bakso yang digunakan. Selengkapnya di bagian PENJELASAN. #LawanHoax",salah pesan berantai bakso tikus foto foto diedarkan foto berasal kejadian indonesia kaitannya foto bakso selengkapnya penjelasan,NA,20,2019-03-15,18:21:00,0,NA,1106621556782829600,LawanHoax,neutral,26,MAFINDO,TurnBackHoax
"[SALAH] Berawal dari got, nyungsepnya juga di got Pelintiran daur ulang. Post sumber menggunakan foto hasil suntingan, warna mobil di foto yang asli adalah putih polos. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah nyungsepnya pelintiran daur ulang post sumber foto hasil suntingan warna mobil foto asli putih polos selengkapnya penjelasan referensi,NA,12,2019-03-15,12:10:00,0,NA,1106527999954837500,LawanHoax,positive,11,MAFINDO,TurnBackHoax
